2025-10-02 07:29:26 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 10:12:28 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 10:43:00 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 12:04:24 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 12:18:50 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 12:56:07 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 13:05:54 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:00:49 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:05:02 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:07:07 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:09:27 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:09:55 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:10:13 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:10:49 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:29:30 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
2025-10-02 16:31:26 | predictor_ml_improved | INFO     | [predictor_ml.py:1806] | apply_runtime_config | MainThread | 런타임 설정 갱신: threshold=0.82, variants=6, trim_std=True (0.04~0.96), encoding_cache=(size=20000, ttl=900s)
